NRP;BERAT BADAN (KG);TINGGI BADAN (CM)
3113100066;57;155
3113100090;40;150
3113100106;48;157
3113100007;86;172
3113100107;47;158
3113100003;51;160
3113100127;55;168
3113100073;108;167
3113100076;65;170
3113100074;45;152
3114100138;75;172
3114100005;55;174
3114100017;70;170
3114100092;74;165
3114100036;46;149,5
3114100079;50;167
3114100702;56;170
3114100049;88;178
3114100050;70;158
3114100704;66;176
3114100045;67;175
3114100019;54;160
3114100098;58;165
3114100021;63;173
3114100095;41;154
3115105049;65;179
3115105013;62;168
3115105058;44;169
3115100037;54;178
3115100082;72;165
3115105059;55;165
3115105043;66;170
3115100059;41;159
3115100078;55;160
3115100149;62;171
3115100106;59;165
3115100072;54;167
3115100089;70;177
3115100016;46;160
3115100009;54;166
3115100053;50;162
3115100085;53;155
3115100137;65;168
3115100112;60;152
3115100084;60;165
